brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
hyundi, I30,2015,Automatic,18078.0,Diesel,20.0,67.3,1.6,8995
merc, A Class,2018,Automatic,4350.0,Diesel,145.0,68.9,2.1,19499
skoda, Octavia,2019,Manual,9373.0,Diesel,,67.3,1.6,14395
toyota, Verso,2011,Manual,74488.0,Petrol,200.0,41.5,1.6,5899
merc, C Class,2019,Automatic,608.0,Petrol,145.0,42.2,2.0,26949
skoda, Fabia,2019,Manual,3972.0,Petrol,145.0,52.3,1.0,12590
merc, CL Class,2019,Semi-Auto,3004.0,Petrol,145.0,40.9,2.0,29299
merc, GL Class,2015,Manual,29053.0,Diesel,20.0,64.2,2.1,14999
bmw, 1 Series,2019,Manual,3641.0,Diesel,145.0,,1.5,22999
skoda, Fabia,2019,Manual,14306.0,Petrol,145.0,61.4,1.0,10995
ford, Fiesta,2019,Manual,4126.0,Petrol,145.0,,1.0,14467
ford, Focus,2013,Manual,57029.0,Petrol,30.0,56.5,1.0,6500
toyota, C-HR,2017,Automatic,13315.0,Hybrid,0.0,74.3,1.8,21388
audi, A1,2019,Manual,8396.0,Petrol,150.0,,1.0,17690
ford, Fiesta,2015,Manual,28000.0,Diesel,0.0,88.3,1.5,6990
ford, Fiesta,2018,Manual,8340.0,Petrol,145.0,65.7,1.0,10291
merc, C Class,2017,Automatic,30525.0,Petrol,145.0,44.1,2.0,25172
bmw, X5,2019,Automatic,7580.0,Diesel,145.0,37.7,3.0,48190
bmw, X1,2017,Manual,41950.0,Diesel,20.0,68.9,2.0,14226
vw, Scirocco,2016,Manual,30989.0,Petrol,,46.3,2.0,14750
hyundi, Ioniq,2018,Semi-Auto,37445.0,Hybrid,135.0,78.5,1.6,14995
hyundi, Ioniq,2019,Automatic,4004.0,Hybrid,135.0,78.5,1.6,16498
bmw, 3 Series,2018,Semi-Auto,30000.0,Diesel,150.0,53.3,3.0,22000
hyundi, I20,2019,Manual,,Petrol,145.0,,1.2,11430
merc, C Class,2018,Automatic,15000.0,Diesel,145.0,64.2,2.1,18998
merc, A Class,2019,Automatic,8812.0,Diesel,145.0,62.8,1.5,25490
skoda, Fabia,2014,Automatic,70000.0,Petrol,,53.3,1.2,5495
ford, Focus,2018,Manual,13878.0,Diesel,145.0,74.3,1.5,11704
merc, CLA Class,2017,Automatic,20182.0,Diesel,,67.3,2.1,16850
vauxhall, Antara,2012,Manual,50478.0,Diesel,235.0,42.8,2.2,5800
vauxhall, Astra,2013,Automatic,59000.0,Diesel,200.0,48.7,2.0,5995
vw, Golf,2018,Semi-Auto,44352.0,Diesel,145.0,57.7,2.0,18645
toyota, RAV4,2017,Manual,32815.0,Diesel,125.0,60.1,2.0,13998
vw, Tiguan,2019,Semi-Auto,6749.0,Diesel,145.0,31.4,2.0,28800
vw, Polo,2017,Manual,,Petrol,20.0,60.1,1.0,9998
vauxhall, Astra,2018,Semi-Auto,1414.0,Petrol,,51.4,1.4,12498
merc, A Class,2017,Automatic,27016.0,Diesel,145.0,74.3,1.5,14899
merc, X-CLASS,2018,Automatic,7820.0,Diesel,260.0,31.4,3.0,38995
merc, C Class,2019,Semi-Auto,8315.0,Petrol,,29.7,3.0,41949
vw, Touareg,2017,Semi-Auto,35432.0,Diesel,145.0,42.8,3.0,24998
audi, A3,2016,Semi-Auto,27306.0,Diesel,125.0,61.4,2.0,15945
merc, GLE Class,2018,Automatic,16592.0,Petrol,145.0,23.7,5.5,66974
merc, GLA Class,2020,Semi-Auto,1695.0,Petrol,145.0,,1.6,21991
vw, Golf,2016,Automatic,10339.0,Petrol,200.0,39.8,2.0,22999
toyota, RAV4,2019,Automatic,9709.0,Hybrid,135.0,49.6,2.5,29995
vw, Passat,2015,Manual,130000.0,Diesel,20.0,68.9,1.6,5793
audi, A3,2015,Manual,68446.0,Diesel,0.0,74.3,1.6,8199
toyota, Aygo,2018,Semi-Auto,8860.0,Petrol,150.0,67.0,1.0,10000
hyundi, Tucson,2016,Automatic,20199.0,Diesel,200.0,47.1,2.0,18999
vw, Tiguan,2017,Semi-Auto,23121.0,Diesel,145.0,49.6,2.0,25298
ford, Kuga,2017,Manual,22139.0,Diesel,30.0,,1.5,13900
toyota, Aygo,2017,Manual,10262.0,Petrol,0.0,,1.0,7695
toyota, Auris,2015,Manual,8962.0,Diesel,20.0,65.7,1.6,10499
merc, V Class,2016,Automatic,33000.0,Diesel,235.0,44.8,2.1,29995
ford, Fiesta,2017,Manual,15296.0,Petrol,0.0,65.7,1.0,10500
ford, Ka+,2017,Manual,19701.0,Petrol,145.0,,1.2,7697
vw, Tiguan,2020,Semi-Auto,6779.0,Petrol,145.0,,2.0,28612
bmw, 3 Series,2015,Manual,44379.0,Diesel,30.0,61.4,2.0,11999
vauxhall, Grandland X,2018,Manual,29094.0,Diesel,145.0,,1.5,13998
merc, C Class,2019,Semi-Auto,11576.0,Diesel,145.0,57.7,2.0,29799
ford, Fiesta,2015,Semi-Auto,20920.0,Petrol,150.0,47.9,1.6,8990
vauxhall, Corsa,2017,Manual,21673.0,Petrol,145.0,55.4,1.4,7225
ford, EcoSport,2017,Manual,18518.0,Petrol,160.0,44.8,1.5,9299
audi, Q2,2020,Manual,6000.0,Petrol,145.0,43.5,1.5,24825
ford, C-MAX,2016,Automatic,26077.0,Diesel,20.0,64.2,1.5,10999
audi, A5,2014,Automatic,92764.0,Diesel,145.0,53.3,2.0,12999
vw, Polo,2016,Manual,15664.0,Petrol,0.0,65.7,1.0,10750
merc, C Class,2016,Automatic,68429.0,Diesel,30.0,64.2,2.1,17000
ford, Fiesta,2013,Manual,23440.0,Petrol,,65.7,1.0,8323
vauxhall, Insignia,2014,Manual,46302.0,Diesel,30.0,62.8,2.0,8191
merc, C Class,2017,Semi-Auto,20150.0,Petrol,145.0,47.1,2.0,22532
merc, E Class,2010,Automatic,121000.0,Diesel,300.0,,3.0,5995
merc, E Class,2020,Semi-Auto,4000.0,Diesel,145.0,57.7,2.0,42991
toyota, Yaris,2015,Manual,28896.0,Petrol,0.0,,1.0,6290
merc, C Class,2015,Automatic,79011.0,Diesel,30.0,61.4,2.1,12800
merc, GLA Class,2016,Semi-Auto,24500.0,Diesel,30.0,64.2,2.1,18431
vauxhall, Crossland X,2019,Manual,10.0,Diesel,145.0,60.1,1.5,15795
toyota, Yaris,2013,Manual,39869.0,Petrol,125.0,51.4,1.3,6191
hyundi, I10,2016,Manual,53182.0,Petrol,20.0,60.1,1.0,5489
vw, Golf,2019,Manual,13148.0,Petrol,145.0,49.6,1.0,12926
hyundi, I30,2017,Manual,19273.0,Diesel,150.0,74.3,1.6,10785
merc, E Class,2017,Automatic,56338.0,Diesel,145.0,61.4,2.0,16800
merc, GLE Class,2019,Semi-Auto,3746.0,Diesel,145.0,36.7,2.0,48000
ford, Fiesta,2017,Manual,10388.0,Petrol,145.0,65.7,1.0,10971
merc, GLE Class,2018,Semi-Auto,23451.0,Diesel,150.0,47.9,2.1,32991
ford, Galaxy,2017,Automatic,41757.0,Diesel,145.0,52.3,2.0,16599
vw, Tiguan,2019,Semi-Auto,6227.0,Diesel,145.0,45.6,2.0,27698
merc, C Class,2019,Automatic,4951.0,Diesel,145.0,64.2,2.0,29950
skoda, Superb,2016,Semi-Auto,102000.0,Diesel,20.0,70.6,1.6,7995
toyota, RAV4,2016,Automatic,39039.0,Hybrid,20.0,55.4,2.5,21990
audi, Q5,2015,Semi-Auto,30649.0,Diesel,200.0,47.1,2.0,19998
vauxhall, Mokka X,2018,Manual,11254.0,Petrol,145.0,,1.4,12802
bmw, 2 Series,2019,Manual,4467.0,Petrol,150.0,52.3,1.5,20495
skoda, Fabia,2017,Manual,11184.0,Diesel,0.0,74.3,1.4,8498
ford, Focus,2016,Manual,18218.0,Diesel,0.0,,1.5,10800
